RAW_WORD,NORMALIZED_WORD,FREQUENCY,RANK,MEANING_ID,WORD_TYPE,IS_KRAMA
gondhok,GONDHOK,10,1523,bengkak pada kelenjar di leher,Kata Benda,
intip,INTIP,10,1524,kerak nasi,,
hasta,HASTA,10,1525,tangan,Kata Benda,
cèthok,CETHOK,10,1526,sendok untuk campuran semen,,
osik,OSIK,10,1527,gerak,Kata Benda,
waca,WACA,10,1528,baca,Kata Kerja,
trubus,TRUBUS,10,1529,tumbuh,,
tedhas,TEDHAS,10,1530,mampu menggigit,Kata Sifat,
ulung,ULUNG,10,1531,serah,Kata Kerja,
tumpak,TUMPAK,10,1532,naik,,
cadhong,CADHONG,10,1533,menadahkan tangan,Kata Kerja,
cupu,CUPU,10,1534,"wadah kecil, biasanya untuk menyimpan perhiasan",Kata Benda,
wuninga,WUNINGA,10,1535,tahu,Kata Sifat,
ulap,ULAP,10,1536,silau,,
sampyuh,SAMPYUH,10,1537,mati di ke dua belah pihak dalam pertempuran,,
widada,WIDADA,10,1538,selamat,Kata Sifat,
jengkar,JENGKAR,9,1539,"pergi, keluar; pindah, meninggalkan tempat",Kata Kerja,Krama
arus,ARUS,9,1540,anyir,Kata Sifat,
ulet,ULET,9,1541,liat,Kata Sifat,
pundhi,PUNDHI,9,1542,mana,,
èncèr,ENCER,9,1543,cair,,
bobok,BOBOK,9,1544,"kulit makanan gorengan, obat luar herbal tradisional",,
mléngos,MLENGOS,9,1545,membuang muka/ memalingkan wajah,,
senthir,SENTHIR,9,1546,lampu minyak tanah kecil,,
witikna,WITIKNA,9,1547,salah sendiri; mengapa pula,Kata Sambung,
dulur,DULUR,9,1548,saudara,Kata Benda,
blangkemen,BLANGKEMEN,9,1549,tidak bisa bicara mendadak dan sesaat,,
mlipir,MLIPIR,9,1550,lewat pinggir,,
abab,ABAB,9,1551,"hawa mulut, hawa yang keluar dari mulut",Kata Benda,
klakep,KLAKEP,9,1552,terdiam mendadak,,
lintu,LINTU,9,1553,tukar,,
ludhes,LUDHES,9,1554,habis tak tersisa,Kata Sifat,
entas,ENTAS,9,1555,"angkat, ambil",Kata Kerja,
bodong,BODONG,9,1556,pusar yang menonjol keluar; pusar yang panjangnya lebih dari normal,Kata Sifat,
sengak,SENGAK,9,1557,ucapan yang tidak mengenakkan hati,,
mandhap,MANDHAP,9,1558,turun,,Krama
nglantur,NGLANTUR,9,1559,"melantur, meracau",Kata Kerja,
udheng,UDHENG,9,1560,ikat kepala,Kata Benda,
bundhas,BUNDHAS,9,1561,"lecet, cedera",Kata Sifat,
mrèmbèt,MREMBET,9,1562,menjalar,,
slonjor,SLONJOR,9,1563,duduk dengan meluruskan kaki ke depan,,
reksa,REKSA,9,1564,Pelihara,,
jangga,JANGGA,9,1565,leher,Kata Benda,
idep,IDEP,9,1566,bulu mata,Kata Benda,
deling,DELING,9,1567,bambu,Kata Benda,
gayuh,GAYUH,9,1568,capai,Kata Kerja,
ambleg,AMBLEG,9,1569,"roboh, runtuh",Kata Sifat,
bacin,BACIN,9,1570,"bau busuk, bau bangkai",Kata Sifat,
andaka,ANDAKA,9,1571,banteng,Kata Benda,
anting,ANTING,9,1572,giwang,,
iga,IGA,9,1573,"tulang belikat, iga",Kata Benda,
atut,ATUT,9,1574,"akrab, jinak",,
babah,BABAH,9,1575,biar,,
bagaskara,BAGASKARA,9,1576,matahari,Kata Benda,
bandhil,BANDHIL,9,1577,pelontar,,
bandhem,BANDHEM,9,1578,palu besar,,
bundhet,BUNDHET,9,1579,diberi ikatan mati pada ujungnya,Kata Sifat,
brastha,BRASTHA,9,1580,"tumpas, berantas",Kata Kerja,
nyandhung,NYANDHUNG,9,1581,tersandung,,
jaé,JAE,9,1582,jahe,,
jaladri,JALADRI,9,1583,lautan,Kata Benda,
jodhang,JODHANG,9,1584,perangkat untuk membawa barang pada upacara lamaran perkawinan,Kata Benda,
dhédhé,DHEDHE,9,1585,berjemur,,
dhuku,DHUKU,9,1586,buah duku,,
énggok,ENGGOK,9,1587,belok,,
kopong,KOPONG,9,1588,"tidak ada isinya, kosong",,
krakal,KRAKAL,9,1589,batu kecil yang lebih besar dari krikil,Kata Benda,
growong,GROWONG,9,1590,berongga,,
iler,ILER,9,1591,air liur,Kata Benda,
ingu,INGU,9,1592,memelihara (hewan),Kata Kerja,
keplèsèt,KEPLESET,9,1593,tergelincir,,
mantun,MANTUN,9,1594,sembuh; (k) sudah,,
tumpes,TUMPES,9,1595,"mati sampai ke akar-akarnya, mati seluruh keluarga (kasar)",,
sidhem,SIDHEM,9,1596,"tenang, sepi",,
cengkiling,CENGKILING,9,1597,suka memukul,,
oyot,OYOT,8,1598,akar,Kata Benda,
diagem,DIAGEM,8,1599,dianggo (krama),,Krama
andhong,ANDHONG,8,1600,"sejenis kereta kuda, delman, andong",Kata Benda,
erah,ERAH,8,1601,ambil,Kata Kerja,
madhang,MADHANG,8,1602,makan,Kata Kerja,
bungkuk,BUNGKUK,8,1603,bongkok,,
ngakon,NGAKON,8,1604,menyuruh,Kata Kerja,
monggo,MONGGO,8,1605,silahkan,,
jèngkèl,JENGKEL,8,1606,jengkel,,
klincutan,KLINCUTAN,8,1607,malu-malu kucing,,
gondhelan,GONDHELAN,8,1608,berpegang,Kata Kerja,
dhèdhèl,DHEDHEL,8,1609,terlepas jahitannya,,
gimbal,GIMBAL,8,1610,rambut yang panjang tapi kotor dan lengket,,
amblas,AMBLAS,8,1611,"lenyap seketika, habis tak tersisa",Kata Sifat,
genuk,GENUK,8,1612,tempayan kecil,Kata Benda,
ninggali,NINGGALI,8,1613,meninggalkan,Kata Kerja,
jenaté,JENATE,8,1614,almarhum,,
buru,BURU,8,1615,kejar,Kata Kerja,
undur,UNDUR,8,1616,gerak ke belakang,Kata Kerja,
ginanjar,GINANJAR,8,1617,diberi hadiah/ganjaran,Kata Kerja,
mléngak,MLENGAK,8,1618,lengah/ menengok,,
criwis,CRIWIS,8,1619,"banyak omong, cerewet",Kata Sifat,
nawani,NAWANI,8,1620,menawari,Kata Kerja,
cethak,CETHAK,8,1621,langit-langit mulut,,
taplak,TAPLAK,8,1622,penutup meja,Kata Benda,
loji,LOJI,8,1623,rumah besar bertingkat,,
medhit,MEDHIT,8,1624,pelit,Kata Sifat,
piyik,PIYIK,8,1625,anak burung,Kata Benda,
uman,UMAN,8,1626,kebagian,Kata Kerja,
ijem,IJEM,8,1627,hijau,Kata Sifat,
cédhal,CEDHAL,8,1628,cadel; tidak bisa mengucapkan bunyi tertentu dengan benar; tidak bisa menucapkan huruf 'R',,
ampil,AMPIL,8,1629,pinjam,Kata Kerja,
jagang,JAGANG,8,1630,"penopang, standar",Kata Benda,
ancik,ANCIK,8,1631,menginjak,Kata Kerja,
magèl,MAGEL,8,1632,kenyal,,
segawon,SEGAWON,8,1633,Anjing,,Krama
wiyak,WIYAK,8,1634,membuka/menampakkan,Kata Kerja,
bungkil,BUNGKIL,8,1635,ampas minyak kacang,Kata Benda,
adu-adu,ADU-ADU,8,1636,mengadu domba,Kata Kerja,
unthuk,UNTHUK,8,1637,"busa, buih",Kata Benda,
ugel-ugel,UGEL-UGEL,8,1638,pergelangan tangan,Kata Benda,
loloh,LOLOH,8,1639,suap,,
lemut,LEMUT,8,1640,nyamuk,,
jegur,JEGUR,8,1641,terjun ke dalam air,Kata Kerja,
jenar,JENAR,8,1642,merah; kuning emas,Kata Sifat,
inthil,INTHIL,8,1643,kotoran kambing,,
ontong,ONTONG,8,1644,bunga pisang,,
gethuk,GETHUK,8,1645,singkong rebus tumbuk; makanan dari ubi jalar,Kata Benda,
glugu,GLUGU,8,1646,batang pohon kelapa,,
ila-ila,ILA-ILA,8,1647,kepercayaan; pantangan,Kata Benda,
glundhung,GLUNDHUNG,8,1648,menggelinding; terguling,Kata Kerja,
wilang,WILANG,8,1649,hitung,Kata Kerja,
cengkir,CENGKIR,8,1650,"buah kelapa yang masih sebesar kepalan, belum berdaging buah; kelapa sangat muda (urutan kelapa sesuai umur manggar (bunga)-bluluk-cengkir-degan-kelapa)",Kata Benda,
